timestamp_start,timestamp_end,label,sequence_id
2025-12-12 11:55:16.210811,2025-12-12 12:02:45.490811,WARNING,0
2025-12-12 11:56:25.330811,2025-12-12 12:03:54.610811,WARNING,1
2025-12-12 11:57:51.730811,2025-12-12 12:05:03.730811,WARNING,2
2025-12-12 11:59:18.130811,2025-12-12 12:06:12.850811,WARNING,3
2025-12-12 12:00:27.250811,2025-12-12 12:07:21.970811,WARNING,4
2025-12-12 12:01:53.650811,2025-12-12 12:08:48.370811,WARNING,5
2025-12-12 12:02:45.490811,2025-12-12 12:10:14.770811,WARNING,6
2025-12-12 12:03:54.610811,2025-12-12 12:11:41.170811,WARNING,7
2025-12-12 12:05:21.010811,2025-12-12 12:12:50.290811,WARNING,8
2025-12-12 12:06:30.130811,2025-12-12 12:13:59.410811,CRITICAL,9
2025-12-12 12:07:39.250811,2025-12-12 12:15:25.810811,CRITICAL,10
2025-12-12 12:09:05.650811,2025-12-12 12:16:34.930811,CRITICAL,11
2025-12-12 12:10:32.050811,2025-12-12 12:17:44.050811,CRITICAL,12
2025-12-12 12:11:41.170811,2025-12-12 12:18:53.170811,CRITICAL,13
2025-12-12 12:13:07.570811,2025-12-12 12:20:02.290811,CRITICAL,14
2025-12-12 12:14:16.690811,2025-12-12 12:21:11.410811,CRITICAL,15
2025-12-12 12:15:43.090811,2025-12-12 12:22:20.530811,CRITICAL,16
2025-12-12 12:16:34.930811,2025-12-12 12:22:55.090811,WARNING,17
2025-12-12 12:18:01.330811,2025-12-12 12:24:04.210811,WARNING,18
2025-12-12 12:18:53.170811,2025-12-12 12:25:30.610811,WARNING,19
2025-12-12 12:20:19.570811,2025-12-12 12:26:39.730811,WARNING,20
2025-12-12 12:21:11.410811,2025-12-12 12:27:48.850811,WARNING,21
2025-12-12 12:22:37.810811,2025-12-12 12:29:15.250811,WARNING,22
2025-12-12 12:22:55.090811,2025-12-12 12:30:24.370811,WARNING,23
2025-12-12 12:24:21.490811,2025-12-12 12:31:16.210811,WARNING,24
2025-12-12 12:25:47.890811,2025-12-12 12:32:42.610811,WARNING,25
2025-12-12 12:26:39.730811,2025-12-12 12:34:09.010811,WARNING,26
2025-12-12 12:28:06.130811,2025-12-12 12:35:35.410811,WARNING,27
2025-12-12 12:29:32.530811,2025-12-12 12:36:44.530811,WARNING,28
2025-12-12 12:30:24.370811,2025-12-12 12:37:53.650811,WARNING,29
2025-12-12 12:31:33.490811,2025-12-12 12:38:45.490811,CRITICAL,30
2025-12-12 12:32:59.890811,2025-12-12 12:39:54.610811,CRITICAL,31
2025-12-12 12:34:26.290811,2025-12-12 12:41:03.730811,CRITICAL,32
2025-12-12 12:35:52.690811,2025-12-12 12:41:55.570811,CRITICAL,33
2025-12-12 12:36:44.530811,2025-12-12 12:43:04.690811,CRITICAL,34
2025-12-12 12:37:53.650811,2025-12-12 12:44:13.810811,CRITICAL,35
2025-12-12 12:39:02.770811,2025-12-12 12:45:40.210811,WARNING,36
2025-12-12 12:40:11.890811,2025-12-12 12:46:32.050811,WARNING,37
2025-12-12 12:41:03.730811,2025-12-12 12:47:41.170811,WARNING,38
2025-12-12 12:42:12.850811,2025-12-12 12:48:33.010811,WARNING,39
2025-12-12 12:43:21.970811,2025-12-12 12:49:42.130811,WARNING,40
2025-12-12 12:44:31.090811,2025-12-12 12:50:51.250811,WARNING,41
2025-12-12 12:45:57.490811,2025-12-12 12:52:17.650811,WARNING,42
