V_batt,I_batt,T_batt,V_bus,I_bus,V_solar,I_solar,SOC,T_eps,P_batt,P_solar,P_bus,converter_ratio,delta_V_batt,delta_I_batt,delta_T_batt,rolling_std_V_batt,rolling_mean_V_batt
0.8908002991772612,0.9818840579710144,0.8483516483516483,0.8470496894409942,0.10344827586206895,0.8920962992898792,0.9502952755905514,0.9115549215406561,0.8140161725067387,0.9833774604567589,0.863197062964919,0.1494150211262391,0.006781241929700359,0.3783351120597654,0.39902014153511167,0.7611301369863014,0.0,1.0
0.7367240089753171,0.9057971014492754,0.8043956043956044,0.6770186335403725,0.1012931034482758,0.8783557531320361,0.7032480314960632,0.7161198288159772,0.8194070080862534,0.8884943710381593,0.6277635884953245,0.13078710089152185,0.00618219823346982,0.32337246531483493,0.37158410451823637,0.7440068493150686,0.1669078517696128,0.9188209331651951
0.6970830216903501,0.5754830917874396,0.8219780219780219,0.695652173913043,0.12715517241379304,0.93008486807921,0.3715551181102363,0.6918687589158345,0.8194070080862534,0.557687556151194,0.34725668466330367,0.15636523318387657,0.0037502915118564004,0.3641942369263607,0.27991290146978776,0.7679794520547946,0.15677942473607062,0.8778373266078185
0.8444278234854146,0.6893115942028986,0.8175824175824176,0.8214285714285712,0.14224137931034486,0.9415738121355579,0.48474409448818906,0.8430813124108417,0.803234501347709,0.681421047179208,0.46042999813489466,0.18326869464644552,0.004134507920407621,0.4308964781216653,0.4400653238976593,0.7594178082191781,0.13865589559456346,0.8961617276166454
0.755422587883321,0.7548309178743962,0.8131868131868132,0.7476708074534173,0.1530172413793104,0.9705559725189075,0.5226377952755907,0.7617689015691869,0.7870619946091646,0.7399802306120978,0.5116111809631089,0.1856022481638489,0.0022871581212945274,0.3465848452508007,0.4226456178551988,0.7594178082191781,0.12270298618045757,0.8883984867591419
0.7935676888556467,0.6379830917874396,0.7956043956043957,0.7732919254658386,0.15948275862068972,0.8366722475607643,0.4896653543307088,0.7803138373751785,0.7816711590296497,0.6260015676192846,0.4154706946030417,0.19431467832499077,0.009261818753232023,0.2782817502668092,0.2978769733260752,0.7559931506849316,0.19446217994318293,0.9332327508557015
0.8362004487658927,0.8671497584541062,0.767032967032967,0.8012422360248443,0.17456896551724144,0.9607990300790945,0.6245078740157481,0.8445078459343797,0.784366576819407,0.8605787063360277,0.6067502710174792,0.21138093186073442,0.0031032794720048107,0.39354322305229433,0.48165487207403385,0.75,0.18009952989516856,0.9343868221941998
0.7404637247569168,0.6195652173913044,0.7648351648351648,0.7220496894409933,0.21336206896551724,0.8383465157900812,0.47096456692913397,0.7232524964336663,0.7951482479784368,0.6040608513726641,0.40013954970849125,0.2385783862744309,0.0087453178708621,0.34418356456776966,0.30974414806750145,0.7602739726027398,0.17436756097940562,0.9240752416981932
0.899027673896784,0.741243961352657,0.7648351648351648,0.9076086956521738,0.21336206896551724,0.8648461405230643,0.5718503937007875,0.942938659058488,0.7951482479784368,0.7386351695059052,0.5018189449046052,0.2597824104241003,0.008731007604010951,0.4348986125933837,0.44289602612955914,0.7611301369863014,0.16893311945529563,0.9325346784363182
0.7756170531039634,0.9685990338164252,0.7846153846153847,0.7010869565217392,0.22844827586206895,0.9941689278909993,0.9817913385826774,0.7517831669044224,0.7978436657681942,0.9557189228258585,0.9896735780968526,0.25005454898797336,0.0009523496201303897,0.3343116328708644,0.4810016330974416,0.7688356164383562,0.16675132575335316,0.920397225725095
